"Story","Title","Result","Date","Stability","Duration (s)"
"Add new place","I can add new places at the OSM via Breadcrumbs","SUCCESS","2017-09-03T14:09:10.714+03:00","0.0","0.02"
"Add new place","I can add new places at the OSM via MainMenu","SUCCESS","2017-09-03T14:09:09.002+03:00","0.0","0.57"
